writer;words_infered_fromtext;num_words_infered_fromtext;total_words_infered_fromtext;total_words_cropped
CF00029;[de,me,a,do,as,para,com,lhes,dois,onde,pela,300,Rayon];13;48;342
CF00030;[a,de,159,Dr.,na,18,com,do,dois,as,300,uma,Para,local,pela,Pessoal,anos,Ap.,Bob,datilografia,De];21;45;392
CF00031;[de,um,minhas,me,do,a,300,onde,as,Lojas,dois,uma,Bob,local,18,com,87,Universais,Na,Para,Dr.,portanto,Grau,Rayon];24;53;395
CF00032;[a,dois,De,Dr.,do,de,as];7;13;496
CF00033;[de,do,me,300,a,as,local,Soube,Sou,18,anos,De];12;48;409
CF00034;[Ap.,de,Rua,durante,dois,as,159,para,a,me,do,cordiais,uma,Na,Nova,local,um,esta,Pessoal,Departamento,vaga,300,18,anos,com,Alves,Contabilidade,Rayon,Lojas,Dr.,Bob,pela,imprensa,Soube,portanto,curso,alguma,possuo,De,minhas,lhes,que,Escola,Municipal];44;129;525
CF00035;[300,a,as,de,V.,me,Soube];7;22;325
CF00036;[159,de,me,do,na,a,Pessoal,dois,Grant,pela,300,e,esta,18,alguma,Rayon,De];17;49;391
CF00037;[onde,dois,anos,as,de,a,Yolanda,159,Para,Grant,Bob,imprensa,Sou,na,esta,do,com,300,Municipal,De,nas,expectativa,Soube,local,Rua,Escola,Rayon,um,minhas,Na,pela,Pessoal,me,vaga,Curso,Alves,alguma];37;104;497
CF00038;[de,me,159,do,com,300,a,as,e,um,cordiais,que,Kirt,dois,local,18,Alves,durante,De];19;68;401
CF00039;[de,onde,as,coloco,a,159,um,do,Bob,Dr.,local,e,Pessoal,esta,Rua,18,curso,com,Alves,De,nas,Kirt,exerci,dois,avaliar,Nova,Para,Grant,vaga,solteiro,Curso,Na,Soube,300,Sou];35;114;605
CF00040;[as,onde,a,me,minhas,uma,portanto,Pessoal,300,do,com,de,alguma,Yolanda,Bob,local,e,um,Sas.,159,Nova,que,na,esta,nas];25;59;414
CF00041;[de,quando,pela,um,a,do,me,com,as,Grant,imprensa,De,venho,300,durante,onde];16;53;394
CF00042;[as,de,me,300,minhas,cordiais,Para,a,V.,do,Contabilidade,dois,anos,uma,Soube,18,159,que,Pessoal,esta,com];21;66;399
CF00043;[a,de,do,159,18,Ap.,as];7;29;386
CF00044;[a,de,as,me,300,Grant,local,que,do,Alves,Municipal,dois,onde,minhas,159,imprensa,portanto,esta,exerci,Pessoal,18,com,alguma,87];24;74;367
CF00045;[De,de,Grau,alguma,as,durante,dois,Universais,nas,Rayon,S.A.,300,me,Nova,para,do,e,Na,expectativa,uma,a,Dr.,Bob,Sas.,um,Pessoal,portanto,esta,Rua,Sou,com,Escola,minhas,resposta,Para,solteiro,anos,Curso,onde,cordiais,local,necessitam,curso,Alves];44;152;570
CF00046;[300,do,de,Soube,um,Sou,dois,onde,De,local,a,com,alguma,me,Na,Municipal,anos];17;66;392
CF00047;[de,uma,159,que,me,do,a,Alves,onde,as,Na,local,Ap.,dois,300,Bob,Soube,anos,Rua,para];20;47;350
CF00048;[de,dois,as,a,Nova,do,Dr.,Sou,local,me,Na,300,V.,avaliar,Soube,anos,nas,14506,Bob,Kirt,esta];21;65;519
CF00049;[me,de,pela,do,esta,a,Rua,as,para,um,quando,uma,local,18,com,159,portanto,-,De];19;44;368
CF00050;[Auxiliar,de,a,me,quando,e,do,Grant,Bob,Dr.,local,um,300,Ap.,brasileiro,Sou,curso,Alves,durante,Lojas,dois,nas,avaliar,cordiais,Fernando,Soube,Curso,18,com,Rua,arquivos,S.A.,exerci,as,minhas,que,Pessoal,onde];38;97;453
CF00051;[de,as,a,pela,Soube,do,Rua,portanto,300,nas,local,Pessoal,com,Rayon,159,onde];16;54;397
CF00052;[do,De,a,de,um,as,Lojas,anos,Dr.,Sou,300,possuo];12;51;504
CF00053;[as,de,159,300,a,do,e,De];8;26;479
CF00054;[de,as,me,a,do,Na,Alves,Rayon,De,159,Dr.,Soube,necessitam,Pessoal,300,com,cordiais,dois];18;68;446
CF00055;[as,de,a,159,lhes,Dr.,do,com,Ap.,onde,Rayon,me,uma,pela,18,300,Soube,na,Escola];19;51;430
CF00056;[a,onde,Soube,do,de,as];6;19;362
CF00057;[V.,me,de,De,na,a,do,300,uma,pela,necessitam,candidatar,esta,com,Escola,possuo,as,que,durante];19;68;401
CF00058;[um,me,do,159,a,Pessoal,18,as,de,onde,dois,e,cordiais,com,Rua];15;44;363
CF00059;[onde,exerci,e,um,uma,do,me,de,esta,com,a,Alves,possuo,De,Ap.,300,coloco,minhas,159,Bob,Grant,Soube,Na,dois,Universais,Dr.,local,18,Sou];29;65;482
CF00060;[as,me,V.,um,de,do,a,dois,com,onde];10;36;389
CF00061;[do,a,de,as,que,18,300,Rayon,esta,pela,De];11;72;519
CF00062;[a,para,de,Para,do,esta,me,Sou,300,18,anos,-,onde,De,um,minhas,apresento,159,Soube,na,durante,dois,87,as,uma,Dr.,local,pela,imprensa,nas];30;62;386
CF00063;[Ap.,de,a,300,87,onde,as,me,Na,uma,159,Dr.,local,Sou,um,Pessoal,com,do,na,Rayon,Para,18,pela,Soube,De];25;72;558
CF00064;[onde,de,me,Na,do,a,portanto,curso,e,dois,uma,Bob,Dr.,Soube,com,Curso,as,Rua,De];19;67;484
CF00065;[a,me,159,de,do,na,87,Sou,300,alguma,Universais,onde,Bob,Pessoal,18,Rua,nas,as,Soube,Ap.,com,Alves];22;58;383
CF00066;[de,local,do,me,a,dois,onde,Bob,De];9;37;406
CF00067;[do,onde,as,de,a,me,um,Na,uma,159,Bob,com,Dr.,curso,De];15;48;529
CF00068;[De,a,Na,Pessoal,com,Sas.,e,Dr.,Sou,me,300,Nova];12;44;556
CF00069;[um,a,do,cordiais,uma,Grant,De,Soube,Ap.,anos,solteiro,Sou,com,de,onde,as,dois,Auxiliar,exerci,Bob,na,curso,300,18,87,e,Na,Kirt,Alves,Rua,Rayon,Lojas];32;71;444
CF00070;[de,me,a,159,Na,Grant,300,do,anos,onde,as,Pessoal,18,Rayon,Para,esta];16;67;398
CF00071;[as,de,me,a,e,do,Ap.,Rayon,onde,300,dois,local,venho,18,nas,De];16;55;429
CF00072;[Ap.,a,do,300,S.A.,anos,de,me,um,dois,Na,Nova,Dr.,que,Soube,as,Sou,18,curso,De,nas,exerci,uma,esta,com,Alves,Curso,durante,159,na,Pessoal,vaga,possuo];33;97;542
CF00073;[a,300,um,do,com,Rayon,as,na,me,de];10;30;412
CF00074;[Rayon,de,a,me,Nova,Para,do,esta,Sou,Alves,Municipal,datilografia,dois,cordiais,na,300,onde,minhas,local,18,as];21;70;430
CF00075;[de,a,e,me,do,dois,as,300];8;37;570
CF00076;[de,onde,exerci,as,Dr.,coloco-me,avaliar,a,159,Bob,do,300,18,87,possuo,e,De,nas,coloco,Sas.,Soube,portanto,Pessoal,solteiro,anos,com,curso,S.A.,dois,um,quando,cordiais,Sou,Ap.];34;106;509
CF00077;[de,as,minhas,lhes,cordiais,expectativa,Na,Nova,Bob,Soube,a,do,vaga,Curso,anos,com,Alves,onde,dois,nas,Ap.,me,quando,Fernando,159,pela,18,curso,possuo,Rayon,Sas.,um,Para,Grant,local,que,na,esta];38;95;428
CF00078;[as,de,a,me,159,Dr.,do,Grau,dois,nas,pela,com,alguma,onde,necessitam,18];16;79;422
CF00079;[Rayon,de,300,onde,as,a,uma,apresento,Bob,Grant,Soube,pela,na,do,De,esta,vaga,Yolanda,159,Para,18,Alves,Municipal,dois,Universais,avaliar,me,lhes,local,solteiro,anos,Ap.,datilografia];33;87;464
CF00080;[Rua,a,do,300,me,na,18,as,onde];9;20;391
CF00081;[me,159,de,Yolanda,uma,Para,do,na,esta,Pessoal,venho,a,18,Alves,300,Lojas,as,onde,cordiais,Bob,Grant,Soube,pela,um,Escola,alguma,anos,De,Dr.,portanto,Ap.,Rayon,nas,Fernando];34;94;390
CF00082;[um,159,Bob,a,com,me,onde,dois,uma,De,portanto,Sou,18,300,Ap.,anos,as,do,Yolanda,Para,Soube,na,e];23;42;429
CF00083;[a,dois,e,159,as,V.,de,para,Na,Nova,Para,Grant,Bob,local,Sou,um,Pessoal,De,do,portanto,300,com,anos,onde,me,minhas,uma,Soube,que,esta,18,Escola,exerci,quando,pela];35;84;490
CF00084;[Rayon,me,Na,Dr.,a,De,com];7;12;460
CF00085;[de,do,a,87,300,lhes,dois,Na,Sou];9;24;288
CF00086;[a,de,do,me,com,dois,as,300];8;43;378
CF00087;[dois,as,a,me,uma,local,anos,do,Rua,De,Rayon,Yolanda,com,exerci,159,avaliar,Grant];17;57;479
CF00088;[de,Nova,do,vaga,a,me,300,na,resposta,Ap.,V.,para,Na,as];14;35;328
CF00089;[do,a,onde,me,de,159,um,as,Bob,Sou,com,300,Rayon];13;35;496
CF00090;[de,do,a,De,me,as,-];7;39;419
CF00091;[do,300,nas,as,87,a,de,Dr.,Sou,um,dois,Lojas,Universais,Rayon,me,possuo,De,Para,Bob,anos];20;67;547
CF00092;[as,um,De,de,me,18,com,Sou,a,Bob,300,Ap.,Soube];13;27;480
CF00093;[de,uma,Para,do,me,a,Sou,Escola,e,Ap.,Rayon,300,onde,as,Nova,apresento,159,Soube,18,anos,Alves,dois,87,minhas,lhes,Na,Dr.,que,Rua];29;71;406
CF00094;[as,de,a,me,Bob,local,pela,que,um,De,300,Pessoal,do,vaga,18,Escola,alguma,dois,Rayon,onde,uma,159,Para,necessitam,na,esta,com,anos,Ap.,apresento,Soube];31;101;419
CF00095;[de,a,do,na,300,me,as,Rua,Dr.,Ap.,De,dois,anos,uma,Para,Bob];16;72;475
CF00096;[de,Grant,pela,do,me,300,anos,Rayon,S.A.,dois,durante,a,apresento,159,candidatar,com,onde,as,Sas.,Ap.];20;49;374
CF00097;[Ap.,me,a,de,do,Rua,dois,onde,as,De,um,Sou,pela,local,Alves,300,Bob,esta,18,com];20;66;393
CF00098;[a,me,de,local,que,Ap.,com,do,durante,as,Grant,Soube,300,e,minhas,um,Sou,onde];18;68;378
CF00099;[159,de,onde,do,De];5;11;325
CF00100;[De,Bob,Soube,Ap.,300,me,18,Nova,com,Curso,a,na,Rua];13;37;484
CF00101;[as,de,minhas,uma,Soube,local,pela,um,a,esta,me,18,do,300,datilografia,Universais,onde,Yolanda,quando,cordiais,159,na,Pessoal,candidatar,com,Rayon,Rua,para,Grant,Quintas,Ap.];31;83;424
CF00102;[Grant,Soube,de,do,e,Ap.,me,minhas,Bob,imprensa,anos,com,Contabilidade,alguma,onde,as,87,um,De];19;44;327
CF00103;[as,um,me,minhas,pela,com,300,do,de,onde,Grant,18,Pessoal];13;32;436
CF00104;[159,Soube,de,me,a,18,Sou,do,onde,local,um,com,De,as];14;31;356
CF00105;[De,Na,a,esta,-me,18,com,-,me,na,Dr.,Pessoal,Rua,minhas,um,as];16;29;418
CF00106;[onde,de,a,me,quando,na,uma,Bob,Soube,do,esta,18,Escola,300,as,e,159,local,um,com,Para,Pessoal,alguma];23;79;430
CF00107;[300,a,Rua,dois,as,de,S.A.,me,do,Nova,local,Soube,Sas.,87,Na,V.,Alves,lhes,Bob,De];20;91;483
CF00108;[exerci,onde,de,e,159,Dr.,do,Pessoal,18,Sou,com,Curso,300,S.A.,a,me,Nova,resposta,Bob,portanto,Alves,Ap.,dois,De,Na,cordiais,Soube,pela,Rua,curso];30;85;454
CF00109;[onde,a,e,de,do,Na,Para,Dr.,na,com,alguma,300,dois,De,as,me,Nova,uma,vaga,necessitam,esta,Alves];22;69;462
CF00110;[a,as,de,159,do,300];6;12;351
CF00111;[a,de,do,300,dois,as,Dr.,me,Rayon,De];10;28;424
CF00112;[as,a,um,Na,Soube,do,de,nas,De,Dr.,Ap.,300,com,Alves,Rayon,Bob,me];17;44;405
CF00113;[dois,anos,Yolanda,as,de,159,Nova,Grant,Soube,do,na,me,Rua,a,para,Bob,pela,-me,18,com,Ap.,300,local];23;51;509
CF00114;[me,de,Grant,Rua,Pessoal,do,Sou,a,Alves,alguma,300,Rayon,dois,onde,as,De,uma,Nova,Soube,local,com,Municipal,Na,Yolanda,candidatar,18,Escola];27;80;384
CF00115;[de,as,lhes,159,local,do,esta,me,a,Pessoal,Contabilidade,300,venho,18,anos,um,portanto,Universais];18;49;409
CF00116;[me,uma,pela,de,do,com,dois,De,159,na,Pessoal,300,18,Curso,a,as,Dr.,V.,imprensa];19;47;409
CF00117;[a,de,Yolanda,Dr.,local,que,as,me,Sou,com,300,Nova,um,do,Ap.,De,pela,Rayon];18;54;408
CF00118;[onde,as,a,300,de,159,Dr.,Soube,do,Sou,18,curso,Alves,e,anos,De,Sas.,minhas,Bob,com,possuo];21;77;408
CF00119;[me,de,Para,pela,do,De,a,18,com,Ap.,onde,V.,local,300,e,que,Soube];17;61;364
CF00120;[Ap.,me,de,a,do,300,159,nas,e,as];10;23;439
CF00121;[Fernando,de,do,e,dois,anos,nas,onde,a,me,um,Na,uma,Dr.,Bob,Soube,pela,Rua,De,esta,com,curso,Ap.,exerci,as,avaliar,apresento,local,Kirt,portanto,Escola,possuo,Lojas,Yolanda,minhas,Grant,imprensa,na];38;130;535
CF00122;[de,onde,as,a,Nova,me,Yolanda,avaliar,Na,lhes,159,Grant,Dr.,Bob,pela,do,esta,18,solteiro,anos,com,Alves,300,dois,nas,Auxiliar,resposta,Fernando,Para,na,Rua,Pessoal,Departamento,-me,vaga,Sou,curso,possuo,S.A.,14506,cordiais,e,87,Ap.,Escola,Lojas];46;138;457
CF00123;[do,dois,de,onde,a,Rua,uma,Nova,Grant,Bob,curso,18,com,Sou,De,exerci,as,me,159,e,portanto,nas,anos,Na,um,Escola];26;79;481
CF00124;[um,de,159,do,me,com,a,Alves,300,as,De,Ap.,87,Dr.,V.,necessitam,na,Pessoal,esta,vaga,anos,dois,onde,quando,Soube,local,pela,Sas.,18];29;76;391
CF00125;[a,S.A.,as,De,com,-,Dr.,300,um,Bob];10;26;549
CF00126;[dois,anos,de,onde,as,me,do,uma,Dr.,Soube,a,na,Sou,curso,Alves,De,Rayon,-me,18,com,Curso];21;75;501
CF00127;[de,me,do,Dr.,Sou,e,com,Kirt,a,300,dois,as,Bob,De,lhes];15;52;528
CF00128;[a,300,dois,as,do,me,De,na,Rayon,Yolanda,159,Grant];12;53;517
CF00129;[159,local,que,de,do,300,18,com,87,a,me,Rayon,Na];13;49;379
CF00130;[de,a,me,159,Yolanda,um,portanto,do,18,com,alguma,as,uma,Dr.,300,anos,onde,De,para,na,Trabalhei];21;77;389
CF00131;[de,as,a,do,300,onde,Bob,me,V.,Soube,De];11;27;380
CF00132;[me,Soube,a,do,as,de,De,Grant,300,Sas.,Dr.,Alves];12;24;378
CF00133;[de,uma,300,Yolanda,159,pela,local,do,esta,me,a,onde,necessitam,Escola,alguma,dois,apresento,Grant,Curso,datilografia,anos,as,De];23;48;352
CF00134;[a,me,de,um,quando,minhas,Yolanda,Bob,Grant,pela,local,e,do,na,com,Contabilidade,alguma,300,nas,onde,as,para,Kirt,dois,Para,esta];26;76;403
CF00135;[14506,de,avaliar,Na,uma,Grant,Bob,local,do,na,esta,a,me,18,dois,Rayon,159,onde,nas,as,300,um,cordiais,Yolanda,pela,que,Nova,V.,minhas,Para,vaga];31;90;394
CF00136;[a,de,300,do,candidatar,18,Lojas,dois,as,Sas.,lhes,cordiais,local,me,anos,Sou,alguma,onde,87,Soube,e,De];22;69;385
CF00137;[a,de,me,do,Alves,Soube,na,Sou,dois,De,300,Bob,pela,Rua];14;31;405
CF00138;[de,Dr.,na,a,dois,Ap.,S.A.,300,De,um,159,do,-me,V.,as];15;25;365
CF00139;[159,de,Dr.,do,a,Bob,pela,Soube,me,as];10;25;363
CF00140;[cordiais,de,Nova,do,a,18,300,e,De,me,Sas.,Sou,dois,anos,159];15;53;392
CF00141;[300,-,me,De,Soube,a,159,Bob,com,Alves,as,Na,Sas.,Curso];14;20;473
CF00142;[anos,a,as,me,159,Soube,de,esta,com,De,quando,Grant,do,portanto,nas,V.,e];17;85;566
CF00143;[me,Pessoal,de,a,300,as,Universais,159,local,Soube,com,onde,-lhes,na,do,18];16;45;409
CF00144;[de,a,um,me,minhas,que,necessitam,na,Pessoal,87,do,esta,18,com,300,Escola,Universais,dois,anos,as,De,Grant,local,Contabilidade,uma,Para];26;85;389
CF00145;[as,me,a,de,De,na,do];7;18;400
CF00146;[a,me,de,Na,Soube,do,Pessoal,18,300,as,De,Nova,Bob,Grant,dois,anos,um,nas,Rayon];19;73;401
CF00147;[a,Dr.,18,com,300,De];6;18;467
CF00148;[de,Grant,Soube,do,a,com,Bob,Dr.,me,as,Pessoal,De];12;31;407
CF00149;[300,Sou,a,anos,De,de,as,do,-];9;19;383
CF00150;[de,87,a,me,um,159,do,Ap.,18,com,Alves,300,as,Grant,local,possuo,lhes,uma,nas,anos,De];21;60;475
CF00151;[a,anos,as,um,de,do,Na,Rua,me,De,nas,durante,300,Para,18,Luiz];16;68;522
CF00152;[do,de,a,Rayon,Nova,as,Pessoal,Sou,87,e,me,De,local,na,159,esta,300,com];18;67;518
CF00153;[de,a,Soube,300,87,do,V.,as];8;31;411
CF00154;[me,a,as,dois,e,de,onde,do,300,anos,alguma,um,com,De];14;86;585
CF00155;[Rua,de,Na,Para,Bob,local,300,a,do,87,as,Nova,dois,De,esta,18];16;62;408
CF00156;[de,me,lhes,resposta,159,Grant,pela,Soube,300,na,do,a,com,anos,Rua,onde,as,coloco,Yolanda,apresento,local,que,portanto,vaga,18,possuo,dois,uma,Sou,Contabilidade,Universais,Rayon];32;91;399
CF00157;[Nova,do,14506,e,Na,local,pela,de,a,as,com,Rayon,exerci,onde,um,minhas,Soube,imprensa,esta,18,dois,300,uma,Dr.,me,Pessoal,87,anos,De];29;58;397
CF00158;[onde,as,de,159,a,um,do,vaga,Rayon,anos,me,local,venho,Alves,Na,Bob,na,Ap.,87];19;54;446
CF00159;[159,a,Grant,300,esta,com,de,De,Alves,as,me,Bob,Soube,um,do,S.A.];16;34;371
CF00160;[159,de,a,Nova,as,Bob,pela,me,local,Pessoal,esta,do,Alves,dois,anos,S.A.,-,Soube,300,Rua,Dr.,imprensa,Sas.,Ap.,18,87,nas,onde,Rayon];29;89;408
CF00161;[De,Dr.,Na,as,300,a,18];7;24;535
CF00162;[do,as,de,me,a,uma,local,De,Nova,cordiais,Dr.,Sas.,18,Alves,dois,159,na];17;63;486
CF00163;[de,a,com,me,necessitam,do,onde,as,Nova,na,dois,nas];12;37;397
CF00164;[do,a,de,me,um,Ap.,as,De];8;23;378
CF00165;[as,De,me,Na,300,159,a,e];8;30;464
CF00166;[de,exerci,as,para,Dr.,Soube,do,a,com,curso,Alves,dois,Universais,onde,anos,Sas.,avaliar,Fernando,Kirt,solteiro,De,expectativa,uma,local,300,um,Ap.,Pessoal,18,Rayon,durante];31;86;425
CF00167;[Kirt,a,de,159,na,Dr.,300,Alves,Ap.,Universais,as,avaliar,cordiais,do,esta,me,Curso,dois,Sas.,Bob,local,Soube,18,anos,Escola,S.A.,De];27;49;425
CF00168;[um,Na,de,a,do,dois,onde,as,me,De,300,159,local,que,Pessoal,com,uma,Soube,Sou,Ap.];20;51;361
CF00169;[a,nas,na];3;5;302
CF00170;[de,um,me,Grant,do,Ap.,a,Rua,onde,Rayon,as,dois,anos,local,300,esta,Pessoal,Contabilidade,S.A.];19;74;388
CF00171;[De,me,300,159,Na,87,a,um];8;25;524
CF00172;[dois,anos,de,me,a,Bob,local,imprensa,do,esta,um,300,com,Rayon,De,as,para,Yolanda,pela,Pessoal,Nova,Para,que,Soube];24;85;493
CF00173;[e,300,a,do];4;5;321
CF00174;[de,exerci,V.,me,minhas,Dr.,300,18,com,Ap.,Contabilidade,do,Municipal,a,Bob,Sou,Alves,durante,dois,Pessoal];20;62;457
CF00175;[a,87,de,300,me,Ap.,do,18,com,nas,De,Na,Soube,Contabilidade,anos,S.A.,Yolanda,Quintas,Bob,Grant,um,dois,onde];23;80;426
CF00176;[18,a,as,de,do,durante,e,300,lhes,me,Sou,dois,159];13;43;325
CF00177;[de,onde,as,do,300,Para,local,a,dois,anos,Rua,me,-,159,Yolanda,Grant,Dr.,Escola];18;68;436
CF00178;[de,Rua,me,do,a,resposta,Yolanda,Grant,Dr.,que,um,anos,alguma,dois,onde,as,300,Bob,local,pela,Soube];21;67;447
CF00179;[de,pela,Pessoal,com,do,dois,onde,300,a,uma,as,De];12;39;360
CF00180;[300,Yolanda,uma,159,Nova,local,que,um,me,18,com,Alves,do,Municipal,de,Rua,anos,Universais,onde,De,para,quando,Para,Bob,imprensa,esta,Ap.,Pessoal,curso,a,as];31;66;372
CF00181;[159,onde,de,coloco-me,Bob,Dr.,Soube,na,as,Ap.,anos,De,Rua,com,a,300,Fernando,do];18;43;425
CF00182;[159,de,me,para,uma,Soube,a,as,do,Dr.,300,Rua,De];13;35;388
CF00183;[a,de,me,300,lhes,Soube,do,Pessoal,18,com,anos,Rua,dois,nas,as,Yolanda,local,alguma,onde,De,para,na,Sou,Alves,Escola,Ap.];26;67;432
CF00184;[de,Para,imprensa,com,do,300,a,onde,me,que,na,e,as,Pessoal];14;36;401
CF00185;[de,me,a,um,300,lhes,do,as,De];9;24;374
CF00186;[87,de,coloco,me,V.,as,e,quando,Yolanda,Dr.,local,pela,a,do,com,datilografia,dois,onde,De,para,uma,Bob,que,esta,300,anos,Contabilidade,Escola,possuo,Ap.,um,Rua,alguma];33;110;410
CF00187;[de,um,quando,apresento,Bob,Grant,Soube,Rua,Sou,18,com,do,87,a,onde,300,as,local,portanto,anos,Alves,Rayon,Nova,avaliar,Na,cordiais,que,me,curso,alguma,Ap.,Universais,De];33;73;395
CF00188;[de,Sas.,a,me,cordiais,Dr.,Bob,na,pela,300,do,com,onde,as,que,Soube,Rua,dois,um,Pessoal,Sou];21;65;370
CF00189;[me,a,de,lhes,159,do,Ap.,com,onde,as,Bob,Soube,na,S.A.,Rua,um,anos,dois];18;50;373
CF00190;[de,onde,me,Nova,do,Soube,na,a,300,portanto,Ap.,as,nas,pela,Alves,Rua,Rayon,dois,Na];19;61;412
CF00191;[de,300,do,a,anos,me,Dr.,Ap.,as,Grant,87,durante,dois];13;46;378
CF00192;[as,de,exerci,Dr.,Bob,Sou,que,do,18,Kirt,a,curso,300,uma,dois,Ap.,me,para,um,Soube,local,Rua,Pessoal,com,anos,Universais,cordiais,Sas.,Trabalhei];29;87;444
CF00193;[a,de,e,as,Kirt,Soube,do,De,dois,me,Bob];11;32;552
CF00194;[de,a,as,nas,Nova,Yolanda,na,uma,Bob,do,local,me,-me,87,dois,Ap.,para,minhas,159,Grant,18,com,De,300,14506,pela,anos,Rua];28;82;555
CF00195;[De,Grant,Dr.,V.,a,do,Sou,Luiz,S.A.,exerci,300,159,18,um,esta,com,as,de];18;38;493
CF00196;[dois,de,as,um,V.,do,a,com,onde,me,Bob,pela,De,Soube];14;67;494
CF00197;[lhes,do,de,na,a,300,as,Yolanda,com,dois,Bob,Rua,Rayon,onde];14;46;386
CF00198;[as,onde,de,do,minhas,local,Soube,que,me,a,Ap.,dois,um,Sou,com,Rua];16;41;443
CF00199;[de,Na,Dr.,Soube,pela,me,esta,Sou,Rua,anos,a,do,dois,300,onde,as,De,159,local,com,Yolanda,Bob,Grant,necessitam,portanto,18,Alves,Escola,87,Lojas];30;77;376
CF00200;[De,Ap.,Na,me,Escola,300,159,Sou,curso,Pessoal,Rua,com];12;32;486
CF00201;[de,a,do,300,as,na,me,Sou];8;36;431
CF00202;[de,um,me,a,lhes,do,com,De,onde,as,portanto,curso,159,Dr.];14;56;455
CF00203;[300,onde,de,-,as,me,a,uma,Grant,Soube,local,Rua,um,do,com,18,87,dois,De,pela,na,nas,resposta,alguma];24;93;453
CF00204;[De,Sas.,me,Nova,Dr.,Na,Ap.,18,curso,300,a,Sou];12;21;432
CF00205;[a,300,Sou,do,as,de,Bob,Grant,De];9;21;359
CF00206;[300,de,do,Pessoal,a,que,me,durante,dois,as,De,Rua,Grant,Dr.,necessitam,local,com,onde,S.A.];19;45;397
CF00207;[a,um,Dr.,e,com,as,159,me,Sou];9;14;504
CF00208;[De,a,me,um,do,exerci,esta,300,87,Na,Rua,18,com];13;35;456
CF00209;[de,do,esta,a,300,lhes,Sou,na,Rayon,dois,Grant];11;34;448
CF00210;[me,quando,de,local,300,a,do,anos,com,Rayon,Ap.,dois,as,159,Grant,que,portanto,onde,pela,na,esta];21;72;384
CF00211;[Rua,de,Bob,do,Na,Ap.,300,a,com,De,me,Dr.,Alves,Grant,V.,Soube,87,curso,S.A.];19;50;427
